Dataset	Variable	Significado	Clase	Origen
ADAE	USUBJID	Identificador único del sujeto, en el ensayo y entre ensayos	character	No derivada
ADAE	SITEID	Identificador del lugar donde se realiza el estudio	character	No derivada
ADAE	AGE	Edad del sujeto estudiado	integer	No derivada
ADAE	SEX	Sexo del sujeto estudiado	character	No derivada
ADAE	TRT01A	Nombre del tratamiento, en este caso del tratamiento 01A, corresponde a Anticuerpo monoclonal o placebo	character	Derivada de ARM (DM)
ADAE	AETERM	Nombre del evento adverso reportado	character	No derivada
ADAE	AEDECOD	Nombre estandarizado del evento adverso reportado	character	No derivada
ADAE	AESEV	Intensidad/severidad del evento adverso reportado	numeric	No derivada
ADAE	ASTDT	Fecha de inicio relacionado con el análisis de tiempo hasta el evento	Date	Derivada de AESTDTC
ADAE	AENDT	Fecha de finalización en el análisis de tiempo hasta el evento	Date	Derivada de AEENDTC
ADAE	ASTDY	Tiempo desde una fecha referencia (en este caso en la que el sujeto inicia el ensayo) hasta el inicio del evento adverso que le ocurre	numeric	ASTDT-RFICDT+1 en este caso
ADAE	AENDY	Tiempo desde una fecha referencia (en este caso en la que el sujeto inicia el ensayo) hasta el fin del evento adverso que le ocurre	numeric	ASENDT-RFICDT+1 en este caso
ADAE	TRTEMFL	"Define si el evento adverso ha ocurrido tras iniciar el tratamiento (""Y"")o sucede previamente"	character	Dependiente de ASTDT y de RFICDT
